,Structure_x,ID,Level_x,zscore_x,Level_y,Structure_y,zscore_y,uniprot
108096,parahippocampal gyrus,RB1CC1,1.5995,1.5416423132298422,3.7653,septal nuclei,0.7183197903509686,Q8TDY2
108276,"globus pallidus, internal segment",ARMCX2,8.6692,1.1197009873657158,7.9146,lateral tuberal nucleus,0.8719346882461668,Q7L311
108616,putamen,NUP205,8.374,1.0085748374108652,8.2423,postcentral gyrus,0.9975284974757432,Q92621
108626,parahippocampal gyrus,EFR3A,8.9178,1.2132848656813524,8.0899,paraventricular nuclei of thalamus,0.9391199026433128,Q14156
109046,parahippocampal gyrus,RTF1,9.2545,1.3400334249286365,7.6289,substantia nigra,0.7624377358601735,Q92541
109478,parahippocampal gyrus,MAN2C1,2.8055,1.0876513347557566,3.0379,"paracentral lobule, anterior part",0.9971020205419782,Q9NTJ4
109702,parahippocampal gyrus,MAN1A1,2.8309,1.0780896673815925,3.0321,substantia nigra,0.9993249198203779,P33908
109817,"globus pallidus, internal segment",PSMA5,8.6556,1.1145813544409666,8.0504,CA1 field,0.923981192040419,P28066
109827,parahippocampal gyrus,TRAPPC3,2.2049,1.3137433593590202,3.1142,paraterminal gyrus,0.9678593972761355,A0A087WWM0
109857,parahippocampal gyrus,ST6GALNAC4,11.1901,2.0686776520716212,8.1668,inferior olivary complex,0.9685924810069212,Q9H4F1
109937,parahippocampal gyrus,CACNG4,9.1479,1.2999045374449403,8.2087,lateral tuberal nucleus,0.9846510120008768,Q9UBN1
109947,parahippocampal gyrus,RENBP,1.5704,1.5525968219144157,3.0776,perifornical nucleus,0.9818866582398293,P51606
110123,short insular gyri,RELB,2.9077,1.0491787991006558,3.1529,postcentral gyrus,0.9530272934702624,Q01201
110227,parahippocampal gyrus,GAK,10.4836,1.8027202505028472,6.3966,fastigial nucleus,0.2901482908995177,A0A087X1U9
110307,parahippocampal gyrus,NAALADL1,2.6253,1.1554864710086838,4.6604,dentate gyrus,0.3752651103345089,Q9UQQ1
110317,parahippocampal gyrus,ACOT8,9.3534,1.377263696712291,7.9928,paraventricular nuclei of thalamus,0.9019055026549335,O14734
110367,parahippocampal gyrus,GNPDA1,9.5452,1.449465578695151,8.0005,trochlear nucleus,0.9048565930762574,P46926
110467,parahippocampal gyrus,GBP3,2.0638,1.3668595509532933,4.297,inferior olivary complex,0.5145412478811311,Q9H0R5
110667,parahippocampal gyrus,GBX2,8.7024,1.1321989147996627,8.1915,lateral tuberal nucleus,0.9780589658649329,P52951
111135,parahippocampal gyrus,MAGI1,2.9051,1.0501575524539166,4.1956,substantia nigra,0.5534036594034962,A0A087WT53
111479,parahippocampal gyrus,NOLC1,2.2268,1.3054992445757843,3.5613,substantia nigra,0.7965045235912296,A0A0A0MRM9
111499,parahippocampal gyrus,DPP8,9.4646,1.419124224744064,8.0784,paraventricular nuclei of thalamus,0.9347124299361413,Q6V1X1
111519,parahippocampal gyrus,IGLL1,1.461,1.5937797514708545,5.7673,central glial substance,0.048963719193162863,P15814
111549,parahippocampal gyrus,IHH,1.9924,1.3937376238082269,3.6326,lateral tuberal nucleus,0.7691781928067658,Q14623
111787,parahippocampal gyrus,GTF2H2,8.5271,1.0662083521740349,8.2198,substantia nigra,0.9889051813095376,Q13888
111847,parahippocampal gyrus,GTF2E2,2.066,1.3660313750389956,3.0451,"lateral hypothalamic area, anterior region",0.9943425593687925,P29084
111877,parahippocampal gyrus,GTF2I,2.6733,1.1374171783330984,4.7645,central glial substance,0.3353679008721992,P78347
112312,short insular gyri,CA8,2.7609,1.1044407192001549,3.0459,postcentral gyrus,0.9940359525717718,P35219
112322,parahippocampal gyrus,CHCHD7,1.9829,1.3973138379836032,3.3609,oculomotor nuclear complex,0.873309526244898,Q9BUK0
112392,parahippocampal gyrus,CCDC28B,2.1185,1.346268086175074,3.5796,VIIB,0.7894908931093827,Q9BUN5
112826,parahippocampal gyrus,MBOAT7,2.6993,1.1276296448004894,3.3291,"inferior frontal gyrus, opercular part",0.8854971464264682,Q96N66
112866,parahippocampal gyrus,PMP22,1.7724,1.4765552152379935,3.4996,tuberomammillary nucleus,0.8201515728114459,Q01453
112938,parahippocampal gyrus,CFL1,1.9715,1.4016052949940547,3.2303,head of the caudate nucleus,0.9233630858585161,P23528
113001,parahippocampal gyrus,CFL2,1.5018,1.5784208526966068,3.8126,paraventricular nuclei of thalamus,0.7001916634771236,Q9Y281
113091,parahippocampal gyrus,MNAT1,8.9337,1.2192703188801401,7.8675,CA1 field,0.853883213071577,P51948
113539,parahippocampal gyrus,PTN,8.3835,1.0121510515862413,7.6723,substantia nigra,0.7790711545985428,P21246
113881,parahippocampal gyrus,TTLL1,8.5011,1.0564208186414255,7.7737,lateral tuberal nucleus,0.817933566120908,O95922
113951,parahippocampal gyrus,GCA,8.6445,1.1104028305097378,7.9219,CA1 field,0.87473247526898,P28676
